attribute,reliable_group_count,reliable_groups,recall_tpr_min,recall_tpr_max,recall_tpr_gap,fpr_min,fpr_max,fpr_gap,predicted_positive_rate_min,predicted_positive_rate_max,predicted_positive_rate_gap
race,2,AfricanAmerican|Caucasian,0.0058823529411764705,0.064,0.05811764705882353,0.00360082304526749,0.031791907514450865,0.028191084469183374,0.003784295175023652,0.03456591639871383,0.030781621223690176
gender,2,Female|Male,0.018604651162790697,0.0779467680608365,0.059342116898045805,0.009960572732932143,0.03815694744420446,0.02819637471127232,0.010668698799771385,0.04159815850049326,0.030929459700721876
age,5,[40-50)|[50-60)|[60-70)|[70-80)|[80-90),0.008064516129032258,0.07853403141361257,0.07046951528458031,0.002982107355864811,0.044918157594213935,0.04193605023834912,0.0036730945821854912,0.04776632302405498,0.04409322844186949
