attribute,reliable_group_count,reliable_groups,recall_tpr_min,recall_tpr_max,recall_tpr_gap,fpr_min,fpr_max,fpr_gap,predicted_positive_rate_min,predicted_positive_rate_max,predicted_positive_rate_gap
race,4,AfricanAmerican|Caucasian|Hispanic|Missing,0.1914893617021276,0.4772727272727273,0.2857833655705997,0.0794392523364486,0.2350071736011477,0.1555679212646991,0.0905263157894736,0.256797583081571,0.16627126729209743
gender,2,Female|Male,0.3812206572769953,0.3932230102442868,0.012002352967291519,0.2241185487991824,0.2249483784768614,0.0008298296776790004,0.2428479242847924,0.2435317532115071,0.0006838289267147024
age,8,[20-30)|[30-40)|[40-50)|[50-60)|[60-70)|[70-80)|[80-90)|[90-100),0.3333333333333333,0.6938775510204082,0.36054421768707484,0.1611269389047167,0.2634304207119741,0.1023034818072574,0.1809388335704125,0.324074074074074,0.14313524050366153
